country_name,country_code,region,income_group,indicator_name,indicator_code,year,gdp_per_capita,gdp_variation
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1961,160.901874221843,-1.2977985527355
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1962,169.694639112863,3.44391903163859
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1963,188.285013364548,3.66864206053057
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1964,182.65594567984,2.39468469340638
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1965,196.091718732954,2.05420606052651
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1966,207.127525039152,-0.562926880196741
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1967,202.040124307772,-3.31143067043426
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1968,210.557419528473,0.44277729348974
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1969,231.481945653491,6.16024503034703
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1970,251.685457585957,4.99754726424923
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1971,251.886643750847,4.89357237501267
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1972,276.324980402645,0.228163375136333
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1973,342.664637993645,1.49702270289313
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1974,422.644767263857,4.5791066955023
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1975,451.133575063953,-3.03964334588586
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1976,474.46834328887,2.25270855851301
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1977,507.075725323015,-0.0570632440624337
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1978,551.581961807816,-3.0229475337722
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1979,631.039532403955,0.882425687584345
